Region,Case.1st.Observed.Date,Narrative,CAUSE,DETERMINED.FATE,Health.status,DISENTANGLEMENT.STATUS,Seen..1yr.,Breeding..Feeding..Migratory.corridor..or.Other.,INITIAL..National.Cause.Criteria..L1.L12,FINAL.National.Cause.Criteria..L1.L12,L1,L2,L3,L4,L5a,L5b,L6a,L6b,L6c,L7a,L7b,L8,L9,L10,L11,L12,PBR..Value,Gear..Type,Trailing.
ATL,8-Jan-00,"rec f/v rept; anchored in gear - netting around peduncle & possibly the pectorals. Gear tagged with tracking buoy overnight. Whale gone 1/9 AM, fisherman hauled gear - netting was parted & VHF tag was on hauled gear. Whale now free-swimming w/ unknown amount & attachment of gear (at least 1 panel & 2 anchors). Gear set on 1/8 @ ~10:00. Reported @ ~12:00 so only entangled for 2 hr. No resights",EN,PR,Unknown,-,0,M,L2,L10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.75,,-
ATL,11-Apr-00,"R/V Shearwater rept. Dark line w/ 2 small white floats balled up & shifting on the whale's back, forward of the dorsal fin, full configuration unknown. Could not satellite tag gear or VHF implant tag; whale evasive, conditions poor; confirmed gear free on 5/1/01",EN,NS,Recovered,Shed Gear,1,F,L10,L10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,,-
ATL,25-Apr-00,NOAA SAS rept; Whale was seen only briefly at the surface 2x. Light line tightly wrapped peduncle w/ 50' trailing line. No response due to rough seas. Resighted 4/28 & 5/6 but no responses.,EN,SI,Unknown,-,0,F,L2,L2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,1
ATL,1-May-00,Attachment point left mouth or flipper w/ bullet buoy & line trailing 15' behind whale. WW vessel did not stand by.  CCS attempted to relocate whale & could not; Resighted 5/2 & assessed w/ non-life threatening entanglement so no attempt. Confirmed gear free on 10/4,EN,NS,Unknown,Shed Gear,0,F,L10,L3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,,1
ATL,12-May-00,"Dependent calf. WW vessel did not stand by, CCS could not relocate; right flipper pinned by line; line runs over back & trails beneath left fluke, 2 bullet buoys attached to trailing line; calf of Onyx; likely gear free 6/21, confirmed gear free 7/12",EN,NS,Unknown,Shed Gear,0,F,L2,L2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,1
ATL,4-Jun-00,"Dependent calf w/ constricting wrap on left fluke, partially severing blade; ~150 ft of line trailing; May be same whale as 1st sighted 4/25; animal appears in good health; no response made due to distance and deemed non life-threatening; no subsequent sightings. **resighted w/ part of left fluke missing, but healthy, & gear free - 01/03/13 agh",EN,NS,Unknown,Shed Gear,0,F,L2,L2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,1
ATL,1-Jul-00,"M/V Daunty VI rept; free swimming w/ 4-5 wraps on peduncle, trailing 50' of green line w/ 2 orange bullet buoys; Unclear if loose or constricting. No one stood by; CCS unable to relocate",EN,PR,Unknown,-,0,F,L10,L10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.75,,1
ATL,4-Aug-00,"ECE rept; 35 ft humpback; netting over head behind blowholes, drapes right flipper & extends to flukes. Tight orange float line w/ black toggles coming from left head & over back to tail on right - line tight, not shifting; appears to have difficulty fluking; resighted 8/11 & 8/31 still entangled",EN,SI,Unknown,-,0,F,L2,L2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,1
ATL,19-Aug-00,WW rept; small whale (juvenile or calf) w/ net around tail trailing ~20' behind flukes; no one stood by CCS searched but could not relocate it,EN,PR,Unknown,-,0,F,L10,L10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.75,,1
ATL,14-May-00,"event added 2014. WW Voyager III hit a whale. Vessel drifting/slow-ahead. Animal came up under starboard hull, rocking it slightly. Small laceration forward of dorsal.",VS,NS,Unknown,-,0,F,"L5b, L6c","L5b, L6c",NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,,-
